Entity,Year,Average annual working hours per worker,Average years of schooling,Gini coefficient,990179-annotations,"GDP per capita, PPP (constant 2021 international $)",Gender Development Index,Human Development Index,Life expectancy - Sex: total - Age: 0 - Type: period,"Crude marriage rate (marriages per 1,000 people)",Urban population (% of total population),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Italy,2016,1724.4153,10.39279,0.35239598,,48193.258,0.966,0.886,83.0459,3.4,69.855,11.688
Italy,2017,1722.6113,10.47962,0.35922197,,49039.57,0.964,0.889,82.7263,3.2,70.144,11.211
Japan,2010,1777.8,12.5299,0.3210032,,41106.26,0.956,0.903,82.916,5.5,90.812,5.103
Japan,2011,1772.7,12.543833,,,41192.277,0.956,0.902,82.6705,5.2,91.069,4.55
Japan,2012,1782.9,12.557766,,,41825.312,0.957,0.906,83.1676,5.3,91.148,4.358
Japan,2013,1761.5,12.571699,0.3285473,,42725.55,0.958,0.909,83.4018,5.3,91.226,4.038
Japan,2014,1756.5,12.585632,,,42909.004,0.96,0.91,83.6434,5.1,91.304,3.589
Japan,2015,1750.9,12.5995655,,,43624.926,0.96,0.913,83.8832,5.1,91.381,3.385
Japan,2016,1742.0,12.613498,,,43976.266,0.962,0.914,84.0568,5.0,91.457,3.132
Japan,2017,1738.3633,12.627431,,,44749.637,0.963,0.916,84.1891,4.9,91.535,2.822
Latvia,2010,1935.1354,12.56456,0.35030317,,23264.59,1.037,0.827,73.0285,4.4,67.841,19.482
Latvia,2011,1951.8978,12.60591,0.3577261,,24411.438,1.032,0.833,73.7176,5.2,67.869,16.206
Latvia,2012,1934.2838,12.70405,0.35236055,,26521.684,1.029,0.837,73.9387,5.5,67.897,15.047
Latvia,2013,1927.7461,12.80915,0.3549739,,27369.172,1.025,0.846,74.1873,5.7,67.925,11.867
Latvia,2014,1938.4757,12.85738,0.3511365,,28206.936,1.026,0.85,74.306,6.3,67.952,10.846
Latvia,2015,1901.7413,12.87024,0.342025,,29514.736,1.03,0.853,74.6646,6.9,67.98,9.873
Latvia,2016,1902.4856,12.93481,0.34328857,,30545.74,1.029,0.858,74.7568,6.6,68.021,9.643
Latvia,2017,1874.5979,13.059031,0.35571036,,31865.121,1.029,0.863,74.8005,6.8,68.075,8.715
Lithuania,2010,1884.2866,12.45812,0.33608764,,27225.742,1.031,0.846,73.1962,6.0,66.757,17.814
Lithuania,2011,1858.8728,12.57373,0.3248645,,29608.605,1.029,0.853,73.608,6.3,66.741,15.39
Lithuania,2012,1857.2939,12.5645,0.35092333,,31323.63,1.027,0.855,73.9644,6.9,66.864,13.365
Lithuania,2013,1841.2473,12.58769,0.35307336,,32922.773,1.023,0.858,74.0268,6.9,66.986,11.77
Lithuania,2014,1833.5299,12.80239,0.37675053,,34459.82,1.021,0.864,74.596,7.6,67.108,10.698
Lithuania,2015,1859.4974,12.95541,0.3737032,,35770.94,1.027,0.865,74.4737,7.6,67.23,9.12
Lithuania,2016,1885.0089,13.1051,0.38385862,,37196.375,1.026,0.87,74.8195,7.4,67.366,7.862
Lithuania,2017,1844.0171,13.18839,0.3728361,,39459.9,1.021,0.878,75.7015,7.5,67.516,7.073
Luxembourg,2010,1516.4979,12.83508,0.3050438,,133098.05,0.976,0.912,80.0987,3.5,88.547,4.361
Luxembourg,2011,1515.0692,12.85512,0.3205409,,131531.75,0.977,0.913,80.2848,3.3,88.906,4.902
Luxembourg,2012,1508.0867,13.00099,0.3434715,,130529.234,0.981,0.917,80.4383,3.4,89.249,5.14
Luxembourg,2013,1502.6809,13.20459,0.32035962,,131592.6,0.979,0.922,80.8544,3.2,89.574,5.848
Luxembourg,2014,1508.2611,13.42529,0.31158078,,131898.62,0.988,0.927,81.2359,3.0,89.884,5.852
Luxembourg,2015,1521.0288,12.45673,0.32921496,,131746.33,0.983,0.914,81.2561,3.6,90.179,6.669
Luxembourg,2016,1519.5106,12.844303,0.31727898,,135355.89,0.988,0.922,81.6199,3.2,90.46,6.291
Luxembourg,2017,1518.8575,12.653233,0.34515306,,133845.17,0.991,0.918,81.0892,3.2,90.727,5.522
Malta,2010,2110.2021,10.3078,0.29025772,,38435.535,0.934,0.862,81.3977,6.3,94.072,6.861
Malta,2011,2052.0757,10.47278,0.2914213,,38652.684,0.948,0.857,80.8038,6.2,94.141,6.388
Malta,2012,2027.42,10.79741,0.29360434,,39878.24,0.951,0.865,81.0638,6.7,94.211,6.203
Malta,2013,2008.3445,11.02759,0.28843665,,41796.285,0.957,0.874,81.8181,6.1,94.279,6.115
Malta,2014,1976.5052,11.12584,0.29020345,,44096.465,0.957,0.881,82.3176,6.6,94.347,5.737
Malta,2015,1964.5587,11.21442,0.29433772,,47199.125,0.966,0.887,82.5914,6.7,94.414,5.389
Malta,2016,2031.9048,11.28811,0.29089025,,48012.285,0.965,0.887,82.6567,6.7,94.48,4.694
Malta,2017,2040.0317,11.564344,0.2923224,,52775.188,0.972,0.896,83.0891,6.3,94.546,4.008
Mexico,2010,2254.0,8.00507,0.47658002,,20298.826,0.955,0.747,73.7181,5.0,77.815,5.303
Mexico,2011,2248.0,8.247495,,,20702.826,0.956,0.753,73.9209,4.9,78.111,5.175
Mexico,2012,2239.0,8.48992,0.49597254,,21149.451,0.955,0.76,74.1278,5.0,78.405,4.892
Mexico,2013,2244.0,8.35723,,,21054.742,0.958,0.761,74.289,4.9,78.699,4.921
Mexico,2014,2242.0,8.40347,0.48912397,,21322.33,0.958,0.765,74.4044,4.8,78.993,4.819
Mexico,2015,2248.0,8.60165,,,21665.557,0.96,0.769,74.4315,4.6,79.285,4.311
Mexico,2016,2255.0,8.5999,0.4691244,,21836.922,0.963,0.773,74.3763,4.4,79.577,3.853
Mexico,2017,2255.0,8.74249,,,22038.57,0.965,0.776,74.2609,4.3,79.867,3.419
Netherlands,2010,1421.3412,11.98348,0.2784524,,62191.176,0.953,0.917,80.8293,4.5,87.134,4.989
Netherlands,2011,1422.4435,11.95781,0.27750087,,62999.508,0.956,0.927,81.1096,4.3,87.879,4.977
Netherlands,2012,1413.1395,12.0216,0.2762093,,62153.023,0.953,0.927,81.059,4.2,88.588,5.821
Netherlands,2013,1417.5695,12.06633,0.2810648,,61951.316,0.953,0.929,81.3011,3.8,89.187,7.243
Netherlands,2014,1428.8756,12.09369,0.2863142,,62724.246,0.954,0.931,81.6503,3.9,89.69,7.416
Netherlands,2015,1423.9202,12.13513,0.2824158,,63771.105,0.956,0.932,81.49,3.8,90.173,6.873
Netherlands,2016,1436.729,12.18412,0.2817357,,64970.418,0.956,0.933,81.5549,3.8,90.635,6.006
Netherlands,2017,1430.0229,12.253565,0.28535804,,66383.98,0.955,0.936,81.7366,3.8,91.077,4.839
New Zealand,2010,1755.0,13.37765,,,41374.203,0.963,0.924,81.0517,4.9,86.16,6.557
New Zealand,2011,1746.0,13.39171,,,41980.227,0.97,0.924,80.8422,4.7,86.1,6.491
New Zealand,2012,1734.0,13.37807,,,42706.58,0.972,0.927,81.1668,4.7,86.161,6.931
New Zealand,2013,1752.0,13.32774,,,43549.457,0.971,0.93,81.6119,4.4,86.221,5.839
New Zealand,2014,1762.0,13.27741,,,44440.12,0.962,0.931,81.4106,4.4,86.281,5.428
New Zealand,2015,1757.0,13.231,,,45170.42,0.963,0.933,81.5866,4.3,86.341,5.415
New Zealand,2016,1752.0,13.33484,,,45822.71,0.972,0.935,82.0027,4.2,86.4,5.147
New Zealand,2017,1752.0,13.237302,,,46400.08,0.968,0.935,81.6053,4.3,86.466,4.736
Norway,2010,1426.4763,12.54957,0.2572369,,83467.305,0.991,0.938,81.0392,4.8,79.102,3.521
Norway,2011,1430.038,12.60601,0.25300157,,83302.54,0.993,0.94,81.2454,4.6,79.455,3.215
